action color value
#|R|0
#|R|0
#|G|0
#|G|0
#|B|0
#|B|0
#|Y|0
#|Y|0
X|R|1
X|R|1
X|R|1
X|R|3
X|R|3
X|R|3
X|R|4
X|R|4
X|R|4
X|R|5
X|R|5
X|R|5
X|R|6
X|R|6
X|R|7
X|R|7
X|R|8
X|R|8
X|R|9
X|R|9
X|R|10
X|R|10
X|G|1
X|G|1
X|G|1
X|G|3
X|G|3
X|G|3
X|G|4
X|G|4
X|G|4
X|G|5
X|G|5
X|G|5
X|G|6
X|G|6
X|G|7
X|G|7
X|G|8
X|G|8
X|G|9
X|G|9
X|G|10
X|G|10
X|B|1
X|B|1
X|B|1
X|B|3
X|B|3
X|B|3
X|B|4
X|B|4
X|B|4
X|B|5
X|B|5
X|B|5
X|B|6
X|B|6
X|B|7
X|B|7
X|B|8
X|B|8
X|B|9
X|B|9
X|B|10
X|B|10
X|Y|1
X|Y|1
X|Y|1
X|Y|3
X|Y|3
X|Y|3
X|Y|4
X|Y|4
X|Y|4
X|Y|5
X|Y|5
X|Y|5
X|Y|6
X|Y|6
X|Y|7
X|Y|7
X|Y|8
X|Y|8
X|Y|9
X|Y|9
X|Y|10
X|Y|10
2|W|2
2|W|2
2|W|2
2|W|2
2|W|2
2|W|2
2|W|2
2|W|2
2|W|2
2|W|2
2|W|2
2|W|2
